isolate	group
COMPASS_AF275307_1	G1
COMPASS_AF469112_1	G1
COMPASS_AY584531_1	G1
COMPASS_DQ198799_1	G1
COMPASS_KM583811_1	G1
COMPASS_KM583816_1	G1
COMPASS_NC_008087_1	G1
COMPASS_NC_011499_1	G1
COMPASS_NC_014556_1	G1
COMPASS_NC_017364_1	G1
COMPASS_NC_017373_1	G1
COMPASS_NC_017377_1	G1
COMPASS_NC_017383_1	G1
COMPASS_NC_019561_1	G1
COMPASS_NC_019564_1	G1
COMPASS_NZ_CP022410_1	G1
COMPASS_U12689_1	G1
DDBJ_AP011944_1	G1
DDBJ_AP017340_1	G1
DDBJ_AP017344_1	G1
DDBJ_AP017353_1	G1
DDBJ_AP017361_1	G1
GenBank_CP032026_1	G1
GenBank_CP032032_1	G1
GenBank_CP032035_1	G1
GenBank_CP032045_1	G1
GenBank_CP034312_1	G1
GenBank_CP042212_1	G1
GenBank_CP053257_1	G1
GenBank_CP071980_1	G1
GenBank_CP071983_1	G1
GenBank_CP094053_1	G1
GenBank_CP094068_1	G1
GenBank_CP094077_1	G1
GenBank_CP094081_1	G1
GenBank_CP094086_1	G1
GenBank_CP094125_1	G1
GenBank_CP094127_1	G1
GenBank_CP094152_1	G1
GenBank_CP094158_1	G1
GenBank_CP094166_1	G1
GenBank_JSXX01000001_1	G1
GenBank_MK795208_1	G1
GenBank_MK795210_1	G1
GenBank_MK795211_1	G1
GenBank_MK795212_1	G1
GenBank_MTWN01000021_1	G1
IMGPR_plasmid_2548876871_000002	G1
IMGPR_plasmid_2551306198_000001	G1
IMGPR_plasmid_2551306199_000001	G1
IMGPR_plasmid_2563367159_000001	G1
IMGPR_plasmid_2568526546_000002	G1
IMGPR_plasmid_2602041570_000001	G1
IMGPR_plasmid_2609460337_000001	G1
IMGPR_plasmid_2617271158_000005	G1
IMGPR_plasmid_2617271162_000001	G1
IMGPR_plasmid_2617271184_000002	G1
IMGPR_plasmid_2617271185_000003	G1
IMGPR_plasmid_2619619156_000003	G1
IMGPR_plasmid_2619619162_000002	G1
IMGPR_plasmid_2619619164_000005	G1
IMGPR_plasmid_2619619172_000001	G1
IMGPR_plasmid_2619619178_000003	G1
IMGPR_plasmid_2619619180_000004	G1
IMGPR_plasmid_2619619181_000001	G1
IMGPR_plasmid_2619619183_000001	G1
IMGPR_plasmid_2619619183_000002	G1
IMGPR_plasmid_2619619184_000003	G1
IMGPR_plasmid_2619619184_000006	G1
IMGPR_plasmid_2619619190_000002	G1
IMGPR_plasmid_2619619195_000001	G1
IMGPR_plasmid_2619619196_000002	G1
IMGPR_plasmid_2619619196_000006	G1
IMGPR_plasmid_2619619197_000001	G1
IMGPR_plasmid_2619619205_000001	G1
IMGPR_plasmid_2634166500_000002	G1
IMGPR_plasmid_2657245446_000002	G1
IMGPR_plasmid_2660238265_000003	G1
IMGPR_plasmid_2693429587_000002	G1
IMGPR_plasmid_642979331_000001	G1
GenBank_CP032021_1	G2
IMGPR_plasmid_2526164637_000001	G2
IMGPR_plasmid_2529292745_000001	G2
IMGPR_plasmid_2529292955_000004	G2
IMGPR_plasmid_2529292961_000001	G2
IMGPR_plasmid_2529292963_000001	G2
IMGPR_plasmid_2529293159_000001	G2
IMGPR_plasmid_2529293163_000001	G2
IMGPR_plasmid_2529293263_000001	G2
IMGPR_plasmid_2531839322_000001	G2
IMGPR_plasmid_2531839678_000003	G2
IMGPR_plasmid_2531839678_000004	G2
IMGPR_plasmid_2534682177_000002	G2
IMGPR_plasmid_2534682271_000001	G2
IMGPR_plasmid_2534682274_000003	G2
IMGPR_plasmid_2534682276_000001	G2
IMGPR_plasmid_2537562098_000001	G2
IMGPR_plasmid_2541047162_000001	G2
IMGPR_plasmid_2548876501_000001	G2
IMGPR_plasmid_2551306581_000001	G2
IMGPR_plasmid_2576861568_000001	G2
IMGPR_plasmid_2576861618_000002	G2
IMGPR_plasmid_2576861618_000003	G2
IMGPR_plasmid_2579778625_000002	G2
IMGPR_plasmid_2609460337_000002	G2
IMGPR_plasmid_2609460341_000006	G2
IMGPR_plasmid_2617271055_000001	G2
IMGPR_plasmid_2617271058_000001	G2
IMGPR_plasmid_2617271099_000001	G2
IMGPR_plasmid_2617271100_000002	G2
IMGPR_plasmid_2617271123_000001	G2
IMGPR_plasmid_2617271124_000002	G2
IMGPR_plasmid_2617271125_000003	G2
IMGPR_plasmid_2617271125_000005	G2
IMGPR_plasmid_2619619154_000001	G2
IMGPR_plasmid_2619619157_000002	G2
IMGPR_plasmid_2619619158_000003	G2
IMGPR_plasmid_2619619162_000001	G2
IMGPR_plasmid_2619619172_000005	G2
IMGPR_plasmid_2619619175_000003	G2
IMGPR_plasmid_2619619179_000002	G2
IMGPR_plasmid_2619619188_000001	G2
IMGPR_plasmid_2619619194_000001	G2
IMGPR_plasmid_2645727646_000001	G2
IMGPR_plasmid_2660238415_000001	G2
IMGPR_plasmid_2695420462_000001	G2
IMGPR_plasmid_2713896926_000005	G2
